"pinName","manufacturer","date","Type","estimatedValue","cabinet","displayType","url","rating","ratingsCount.href","ratingsCount.text","makeAndYear","index","gameDesign","artwork","sound","otherRating","staffRating","lowValue","highValue","avgValue","staffValue","age","nameLink"
"Game Of Thrones (Pro)","Stern Pinball, Inc.",2015,"Type Solid state","$5000 - $6000","Normal","Dot Matrix","https://pinside.com/pinball/archive/game_of_thrones",7.579,"https://pinside.com/pinball/archive/game_of_thrones/ratings","79 ratings","Stern, 2015",98,7.906,6.456,7.834,7.806,8.635,5000,6000,5500,636.942675159236,1,"<a href=""https://pinside.com/pinball/archive/game_of_thrones""target = _blank>Game Of Thrones (Pro)</a>"
"Goldeneye","Sega Pinball, Inc. (US)",1996,"Type Solid state","$1760 - $2040","Normal","Dot Matrix","https://pinside.com/pinball/archive/goldeneye",7.577,"https://pinside.com/pinball/archive/goldeneye/ratings","129 ratings","Sega, 1996",99,7.607,7.489,7.181,7.686,7.657,1760,2040,1900,248.138957816377,20,"<a href=""https://pinside.com/pinball/archive/goldeneye""target = _blank>Goldeneye</a>"
"Haunted House","D. Gottlieb & Co.",1982,"Type Solid state","$1760 - $2040","Wide body","Digital","https://pinside.com/pinball/archive/haunted-house",7.571,"https://pinside.com/pinball/archive/haunted-house/ratings","259 ratings","Gottlieb, 1982",100,7.518,8.228,6.678,7.639,7.715,1760,2040,1900,246.273493195075,34,"<a href=""https://pinside.com/pinball/archive/haunted-house""target = _blank>Haunted House</a>"
"Centaur II","Bally Manufacturing Co.",1983,"Type Solid state","$2000 - $2400","Normal","Digital","https://pinside.com/pinball/archive/centaur-ii",7.567,"https://pinside.com/pinball/archive/centaur-ii/ratings","48 ratings","Bally, 1983",101,7.669,7.702,6.339,7.582,6.886,2000,2400,2200,319.488817891374,33,"<a href=""https://pinside.com/pinball/archive/centaur-ii""target = _blank>Centaur II</a>"
"Stargate","D. Gottlieb & Co.",1995,"Type Solid state","$1850 - $2150","Normal","Dot Matrix","https://pinside.com/pinball/archive/stargate",7.565,"https://pinside.com/pinball/archive/stargate/ratings","278 ratings","Gottlieb, 1995",102,7.784,7.83,6.705,7.704,7.43,1850,2150,2000,269.179004037685,21,"<a href=""https://pinside.com/pinball/archive/stargate""target = _blank>Stargate</a>"
"Space Shuttle","Williams Electronic Games, Inc.",1984,"Type Solid state","$1200 - $1400","Normal","Digital","https://pinside.com/pinball/archive/space-shuttle",7.561,"https://pinside.com/pinball/archive/space-shuttle/ratings","213 ratings","Williams, 1984",103,7.764,7.619,6.462,7.803,7.151,1200,1400,1300,181.792756257866,32,"<a href=""https://pinside.com/pinball/archive/space-shuttle""target = _blank>Space Shuttle</a>"
"Blackout","Williams Electronic Games, Inc.",1980,"Type Solid state","$920 - $1080","Normal","Digital","https://pinside.com/pinball/archive/blackout",7.559,"https://pinside.com/pinball/archive/blackout/ratings","67 ratings","Williams, 1980",104,7.709,7.41,6.39,7.701,8.04,920,1080,1000,124.378109452736,36,"<a href=""https://pinside.com/pinball/archive/blackout""target = _blank>Blackout</a>"
"No Fear: Dangerous Sports","Williams Electronic Games, Inc.",1995,"Type Solid state","$2030 - $2370","Normal","Dot Matrix","https://pinside.com/pinball/archive/no-fear-dangerous-sports",7.543,"https://pinside.com/pinball/archive/no-fear-dangerous-sports/ratings","312 ratings","Williams, 1995",105,7.72,7.469,7.203,7.435,6.877,2030,2370,2200,319.906936164025,21,"<a href=""https://pinside.com/pinball/archive/no-fear-dangerous-sports""target = _blank>No Fear: Dangerous Sports</a>"
"Swords of Fury","Williams Electronic Games, Inc.",1988,"Type Solid state","$1850 - $2150","Normal","Alphanumeric","https://pinside.com/pinball/archive/swords-of-fury",7.539,"https://pinside.com/pinball/archive/swords-of-fury/ratings","158 ratings","Williams, 1988",106,7.469,7.706,7.095,7.588,8.167,1850,2150,2000,244.887963756581,28,"<a href=""https://pinside.com/pinball/archive/swords-of-fury""target = _blank>Swords of Fury</a>"
"Dirty Harry","Williams Electronic Games, Inc.",1995,"Type Solid state","$2400 - $2800","Normal","Dot Matrix","https://pinside.com/pinball/archive/dirty-harry",7.537,"https://pinside.com/pinball/archive/dirty-harry/ratings","215 ratings","Williams, 1995",107,7.586,7.282,7.367,7.678,7.679,2400,2800,2600,338.585753353301,21,"<a href=""https://pinside.com/pinball/archive/dirty-harry""target = _blank>Dirty Harry</a>"
